t,x(t),v(t),F(t) (added)
12.30009,1.924312,0.5645814,-192.4312
12.32009,1.934834,0.5260952,-193.4834
12.34009,1.944582,0.4873985,-194.4582
12.36009,1.953552,0.4485068,-195.3552
12.38009,1.961741,0.4094358,-196.1741
12.40009,1.969145,0.370201,-196.9145
12.42009,1.975761,0.3308181,-197.5761
12.44009,1.981588,0.2913028,-198.1588
12.4601,1.986621,0.2516711,-198.6621
12.4801,1.99086,0.2119386,-199.086
12.5001,1.994302,0.1721215,-199.4302
12.5201,1.996947,0.1322354,-199.6947
12.5401,1.998793,0.09229649,-199.8793
12.5601,1.999839,0.05232064,-199.9839
12.5801,2.000086,0.01232386,-200.0086
12.6001,1.999532,-0.02767785,-199.9532
12.6201,1.998179,-0.06766848,-199.8179
